客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,freight(C$),Duty(C$),GST(C$),保险,总金额(C$),操作
ASXYZ,ONO2ASXYZ0392307,海运-小额,1,YT2501584355481,1.495,0.01,,3,0,0,0,3,
ASXYZ,ONO2ASXYZ0382307,海运-小额,1,433322621472122 ,2.16,0.01,,3,0,0,0,3,
ASXYZ,ONO2ASXYZ0432307,海运-小额,1,YT8917004159388,1.394,0.01,,3,0,0,0,3,
ASXYZ,ONO2ASXYZ0422307,海运-小额,1,YT8916211346730,2.349,0.01,,3,0,0,0,3,
ASXYZ,ONO2ASXYZ0442307,海运-小额,1,776351674325973 ,1.544,0.01,,3,0,0,0,3,
BEEBN,ONO2BEEBN0062307,海运-小额,1,78706367931826 ,0.54,0.01,,3,0,0,0,3,
BTTBX,ONO2BTTBX0232307,海运-小额,1,78707033685890 ,4.244,0.01,,3,0,0,0,3,
BTTBX,ONO2BTTBX0222307,海运-小额,1,78706940184266 ,0.764,0.01,,3,0,0,0,3,
BTTBX,ONO2BTTBX0202307,海运-小额,1,YT7404235411251,0.589,0.01,,3,0,0,0,3,
BTTBX,ONO2BTTBX0192307,海运-小额,1,YT7404212925971,0.73,0.01,,3,0,0,0,3,
BTWKY,ONO2BTWKY0152307,海运-小额,1,YT7403205516880,0.875,0.01,,3,0,0,0,3,
BTWKY,ONO2BTWKY0122307,海运-小额,1,78705749489658 ,0.644,0.01,,3,0,0,0,3,
BTWKY,ONO2BTWKY0142307,海运-小额,1,773233378639981 ,2.279,0.01,,3,0,0,0,3,
BTWKY,ONO2BTWKY0112307,海运-小额,1,YT7403205516880,0.845,0.01,,3,0,0,0,3,
BUXQY,ONO2BUXQY0082307,海运-小额,1,JT3038586037812,1.184,0.01,,3,0,0,0,3,
BUXQY,ONO2BUXQY0072307,海运-小额,1,78704596208136 ,0.759,0.01,,3,0,0,0,3,
BUXQY,ONO2BUXQY0052307,海运-小额,1,74100290052166 ,0.25,0.01,,3,0,0,0,3,
BUXQY,ONO2BUXQY0042307,海运-小额,1,78704518058367 ,1.325,0.01,,3,0,0,0,3,
BUXQY,ONO2BUXQY0032307,海运-小额,1,78704517758051 ,1.294,0.01,,3,0,0,0,3,
BUXQY,ONO2BUXQY0022307,海运-小额,1,9871725526369 ,0.495,0.01,,3,0,0,0,3,
CUFPQ,ONO2CUFPQ0272307,海运-小额,1,JT3039798141068,0.745,0.01,,3,0,0,0,3,
CUFPQ,ONO2CUFPQ0262307,海运-小额,1,1264059682648 ,2.204,0.01,,3,0,0,0,3,
CXRNX,ONO2CXRNX0632307,海运-小额,1,78707041692638 ,1.875,0.01,,3,0,0,0,3,
CXRNX,ONO2CXRNX0592307,海运-小额,1,433334660271105 ,0.915,0.01,,3,0,0,0,3,
