批次号,客户编号,入仓号,包裹类型,总件数,快递号,总重量(kg),总体积重,是否超长,是否付款,实付金额(C$),freight(C$),Duty(C$),GST(C$),附加服务,保险,总金额(C$)
ONO231001-for-test,TEST1,ONO2TEST10282307,海运-小额,1,YT8915335416781,2.47,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST1,ONO2TEST10622307,海运-小额,1,YT8915335416781,0.894,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST1,ONO2TEST10112307,海运-小额,1,YT8915335416781,2.43,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST2,ONO2TEST20072307,海运-小额,1,YT8915335416781,2.075,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST2,ONO2TEST20562307,海运-小额,1,YT8915335416781,0.745,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST2,ONO2TEST20502307,海运-小额,1,YT8915335416781,0.709,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST2,ONO2TEST20482307,海运-小额,1,YT8915335416781,1.32,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST3,ONO2TEST30472307,海运-小额,1,YT8915335416781,0.675,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST3,ONO2TEST30152307,海运-小额,1,YT8915335416781,1.36,0.01,,,,3,0,0,,0,3
ONO231001-for-test,TEST3,ONO2TEST30102307,海运-小额,1,YT8915335416781,2.095,0.01,,,,3,0,0,,0,3
